1.414,1.947,106.766,4.05,0.574,-0.153,3.157,50.33,2.21,0.496,0
1.414,1.947,106.766,4.05,0.574,0.0,9.391,173.494,3.55,0.668,0
1.414,1.947,106.766,4.05,0.574,1.306,1.389,107.369,3.25,0.643,0
1.414,1.947,106.766,4.05,0.574,-0.956,1.157,92.85,3.8,0.622,0
1.414,1.947,106.766,4.05,0.574,0.447,1.604,149.73,2.8,0.544,0
-0.153,3.157,50.33,2.21,0.496,1.414,1.947,106.766,4.05,0.574,1
-0.153,3.157,50.33,2.21,0.496,0.0,9.391,173.494,3.55,0.668,0
-0.153,3.157,50.33,2.21,0.496,1.306,1.389,107.369,3.25,0.643,0
-0.153,3.157,50.33,2.21,0.496,-0.956,1.157,92.85,3.8,0.622,0
-0.153,3.157,50.33,2.21,0.496,0.447,1.604,149.73,2.8,0.544,0
0.0,9.391,173.494,3.55,0.668,1.414,1.947,106.766,4.05,0.574,1
0.0,9.391,173.494,3.55,0.668,-0.153,3.157,50.33,2.21,0.496,1
0.0,9.391,173.494,3.55,0.668,1.306,1.389,107.369,3.25,0.643,0
0.0,9.391,173.494,3.55,0.668,-0.956,1.157,92.85,3.8,0.622,0
0.0,9.391,173.494,3.55,0.668,0.447,1.604,149.73,2.8,0.544,0
1.306,1.389,107.369,3.25,0.643,1.414,1.947,106.766,4.05,0.574,1
1.306,1.389,107.369,3.25,0.643,-0.153,3.157,50.33,2.21,0.496,1
1.306,1.389,107.369,3.25,0.643,0.0,9.391,173.494,3.55,0.668,1
1.306,1.389,107.369,3.25,0.643,-0.956,1.157,92.85,3.8,0.622,0
1.306,1.389,107.369,3.25,0.643,0.447,1.604,149.73,2.8,0.544,0
-0.956,1.157,92.85,3.8,0.622,1.414,1.947,106.766,4.05,0.574,1
-0.956,1.157,92.85,3.8,0.622,-0.153,3.157,50.33,2.21,0.496,1
-0.956,1.157,92.85,3.8,0.622,0.0,9.391,173.494,3.55,0.668,1
-0.956,1.157,92.85,3.8,0.622,1.306,1.389,107.369,3.25,0.643,1
-0.956,1.157,92.85,3.8,0.622,0.447,1.604,149.73,2.8,0.544,0
0.447,1.604,149.73,2.8,0.544,1.414,1.947,106.766,4.05,0.574,1
0.447,1.604,149.73,2.8,0.544,-0.153,3.157,50.33,2.21,0.496,1
0.447,1.604,149.73,2.8,0.544,0.0,9.391,173.494,3.55,0.668,1
0.447,1.604,149.73,2.8,0.544,1.306,1.389,107.369,3.25,0.643,1
0.447,1.604,149.73,2.8,0.544,-0.956,1.157,92.85,3.8,0.622,1
-0.614,1.666,102.68,3.2,0.557,-0.671,5.02,162.449,3.05,0.57,0
-0.614,1.666,102.68,3.2,0.557,0.5,2.598,81.298,3.188,0.507,0
-0.614,1.666,102.68,3.2,0.557,0.671,2.921,266.36,5.1,0.491,0
-0.614,1.666,102.68,3.2,0.557,-0.351,2.454,173.437,3.5,0.516,0
-0.614,1.666,102.68,3.2,0.557,-0.837,2.449,183.845,4.7,0.577,0
-0.671,5.02,162.449,3.05,0.57,-0.614,1.666,102.68,3.2,0.557,1
-0.671,5.02,162.449,3.05,0.57,0.5,2.598,81.298,3.188,0.507,0
-0.671,5.02,162.449,3.05,0.57,0.671,2.921,266.36,5.1,0.491,0
-0.671,5.02,162.449,3.05,0.57,-0.351,2.454,173.437,3.5,0.516,0
-0.671,5.02,162.449,3.05,0.57,-0.837,2.449,183.845,4.7,0.577,0
0.5,2.598,81.298,3.188,0.507,-0.614,1.666,102.68,3.2,0.557,1
0.5,2.598,81.298,3.188,0.507,-0.671,5.02,162.449,3.05,0.57,1
0.5,2.598,81.298,3.188,0.507,0.671,2.921,266.36,5.1,0.491,0
0.5,2.598,81.298,3.188,0.507,-0.351,2.454,173.437,3.5,0.516,0
0.5,2.598,81.298,3.188,0.507,-0.837,2.449,183.845,4.7,0.577,0
0.671,2.921,266.36,5.1,0.491,-0.614,1.666,102.68,3.2,0.557,1
0.671,2.921,266.36,5.1,0.491,-0.671,5.02,162.449,3.05,0.57,1
0.671,2.921,266.36,5.1,0.491,0.5,2.598,81.298,3.188,0.507,1
0.671,2.921,266.36,5.1,0.491,-0.351,2.454,173.437,3.5,0.516,0
0.671,2.921,266.36,5.1,0.491,-0.837,2.449,183.845,4.7,0.577,0
-0.351,2.454,173.437,3.5,0.516,-0.614,1.666,102.68,3.2,0.557,1
-0.351,2.454,173.437,3.5,0.516,-0.671,5.02,162.449,3.05,0.57,1
-0.351,2.454,173.437,3.5,0.516,0.5,2.598,81.298,3.188,0.507,1
-0.351,2.454,173.437,3.5,0.516,0.671,2.921,266.36,5.1,0.491,1
-0.351,2.454,173.437,3.5,0.516,-0.837,2.449,183.845,4.7,0.577,0
-0.837,2.449,183.845,4.7,0.577,-0.614,1.666,102.68,3.2,0.557,1
-0.837,2.449,183.845,4.7,0.577,-0.671,5.02,162.449,3.05,0.57,1
-0.837,2.449,183.845,4.7,0.577,0.5,2.598,81.298,3.188,0.507,1
-0.837,2.449,183.845,4.7,0.577,0.671,2.921,266.36,5.1,0.491,1
-0.837,2.449,183.845,4.7,0.577,-0.351,2.454,173.437,3.5,0.516,1
1.055,4.243,174.509,5.0,0.563,0.205,2.124,175.555,4.2,0.549,0
1.055,4.243,174.509,5.0,0.563,1.434,2.683,392.891,3.9,0.624,0
1.055,4.243,174.509,5.0,0.563,-0.518,3.28,207.391,10.8,0.666,0
1.055,4.243,174.509,5.0,0.563,1.265,1.714,144.759,7.2,0.647,0
1.055,4.243,174.509,5.0,0.563,-0.471,9.391,46.405,3.9,0.46,0
0.205,2.124,175.555,4.2,0.549,1.055,4.243,174.509,5.0,0.563,1
0.205,2.124,175.555,4.2,0.549,1.434,2.683,392.891,3.9,0.624,0
0.205,2.124,175.555,4.2,0.549,-0.518,3.28,207.391,10.8,0.666,0
0.205,2.124,175.555,4.2,0.549,1.265,1.714,144.759,7.2,0.647,0
0.205,2.124,175.555,4.2,0.549,-0.471,9.391,46.405,3.9,0.46,0
