38,6,10,0.158,11,1,5,0.091,15.882,16.009,75,11,123,19,19,0.154,31,6,7,0.194,16.167,16.079,130,7,0
16,5,8,0.313,1,0,1,0.0,15.846,15.973,65,5,64,15,23,0.234,12,2,9,0.167,16.029,16.037,123,7,1
29,3,11,0.103,3,1,2,0.333,16.113,16.169,71,3,67,17,11,0.254,24,5,7,0.208,15.944,16.061,96,9,0
34,7,11,0.206,3,0,1,0.0,15.952,15.957,94,12,48,7,11,0.146,29,3,16,0.103,16.084,16.112,76,9,1
52,15,11,0.288,26,7,7,0.269,16.121,16.166,94,11,22,7,4,0.318,6,0,1,0.0,16.064,16.102,66,5,0
23,7,5,0.304,13,2,4,0.154,16.137,16.121,62,5,7,0,1,0.0,3,0,1,0.0,16.147,16.109,60,11,1
65,14,15,0.215,21,3,7,0.143,16.356,16.408,93,6,14,3,6,0.214,10,0,1,0.0,15.81,15.803,70,6,0
14,4,4,0.286,2,0,1,0.0,15.635,15.831,74,4,5,2,3,0.4,2,0,1,0.0,16.416,16.36,80,13,1
5,1,2,0.2,5,1,2,0.2,16.547,16.547,61,6,5,2,3,0.4,2,0,1,0.0,16.416,16.36,80,13,1
3,1,1,0.333,1,0,1,0.0,15.524,15.729,71,4,16,7,4,0.438,3,1,1,0.333,16.254,16.347,84,7,0
63,20,8,0.317,21,3,6,0.143,16.532,16.246,107,5,6,0,1,0.0,4,0,1,0.0,15.886,15.838,71,7,1
7,1,5,0.143,1,0,1,0.0,15.903,16.016,57,9,8,3,5,0.375,5,1,4,0.2,16.326,16.334,111,13,0
57,9,13,0.158,3,1,2,0.333,15.983,16.038,129,3,8,3,5,0.375,5,1,4,0.2,16.326,16.334,111,13,0
31,6,13,0.194,7,2,4,0.286,16.579,15.948,89,6,23,5,10,0.217,15,3,7,0.2,15.931,15.934,90,7,1
18,5,5,0.278,2,0,1,0.0,16.69,15.849,66,5,23,5,10,0.217,15,3,7,0.2,15.931,15.934,90,7,1
41,4,18,0.098,3,0,1,0.0,16.049,16.034,121,7,34,5,7,0.147,7,0,1,0.0,15.879,15.991,67,4,1
70,12,12,0.171,21,3,10,0.143,15.867,15.942,103,4,117,20,17,0.171,1,0,1,0.0,16.156,15.61,132,16,1
70,12,12,0.171,21,3,10,0.143,15.867,15.942,103,4,22,5,6,0.227,19,3,6,0.158,16.497,16.493,80,12,1
35,5,9,0.143,22,2,15,0.091,16.049,16.044,82,5,8,2,1,0.25,1,0,1,0.0,15.817,16.066,64,4,0
9,3,2,0.333,1,0,1,0.0,15.995,16.075,64,5,3,2,1,0.667,2,1,1,0.5,16.826,16.788,79,7,1
30,8,6,0.267,12,4,4,0.333,16.054,16.086,65,5,114,20,15,0.175,14,4,6,0.286,16.475,16.046,141,7,0
30,8,6,0.267,12,4,4,0.333,16.054,16.086,65,5,9,2,3,0.222,1,0,1,0.0,15.979,15.884,77,6,0
130,24,17,0.185,35,5,18,0.143,15.895,15.696,184,5,36,11,8,0.306,6,1,5,0.167,16.154,16.067,78,7,0
62,12,11,0.194,11,5,2,0.455,16.244,16.335,120,11,25,8,5,0.32,9,4,2,0.444,16.363,16.423,96,6,0
62,12,11,0.194,11,5,2,0.455,16.244,16.335,120,11,73,9,15,0.123,6,0,1,0.0,15.947,15.947,97,7,0
18,2,6,0.111,3,1,1,0.333,15.824,15.889,86,7,25,8,5,0.32,9,4,2,0.444,16.363,16.423,96,6,0
18,2,6,0.111,3,1,1,0.333,15.824,15.889,86,7,73,9,15,0.123,6,0,1,0.0,15.947,15.947,97,7,0
55,13,10,0.236,13,3,3,0.231,16.119,16.071,101,11,17,2,12,0.118,14,1,2,0.071,15.328,15.298,63,9,1
29,7,6,0.241,11,3,4,0.273,16.052,16.083,65,5,61,15,9,0.246,27,7,4,0.259,16.066,16.071,95,12,0
10,0,1,0.0,5,0,1,0.0,15.708,15.642,127,6,58,12,16,0.207,3,0,1,0.0,16.242,16.165,124,7,1
51,10,13,0.196,18,2,9,0.111,16.076,16.066,157,11,61,15,9,0.246,27,7,4,0.259,16.066,16.071,95,12,0
43,7,12,0.163,4,0,1,0.0,16.099,15.869,99,16,30,9,6,0.3,28,8,6,0.286,15.841,15.857,134,7,0
52,13,8,0.25,16,6,3,0.375,16.214,16.211,71,7,30,9,6,0.3,28,8,6,0.286,15.841,15.857,134,7,0
18,2,7,0.111,1,0,1,0.0,16.065,16.129,70,14,8,1,4,0.125,5,0,1,0.0,16.157,16.131,45,6,1
18,2,7,0.111,1,0,1,0.0,16.065,16.129,70,14,130,20,32,0.154,27,4,12,0.148,16.275,16.101,134,11,1
2,0,1,0.0,1,0,1,0.0,15.448,15.437,101,6,15,3,3,0.2,5,1,2,0.2,16.192,16.175,66,7,0
68,15,13,0.221,25,5,9,0.2,16.392,16.229,92,5,2,1,1,0.5,2,1,1,0.5,15.396,15.396,89,7,1
137,22,20,0.161,6,2,2,0.333,16.092,15.915,158,5,2,1,1,0.5,2,1,1,0.5,15.396,15.396,89,7,1
34,5,15,0.147,4,2,1,0.5,16.096,16.059,103,11,1,0,1,0.0,1,0,1,0.0,16.118,16.118,101,7,1
34,5,15,0.147,4,2,1,0.5,16.096,16.059,103,11,102,15,15,0.147,3,2,1,0.667,16.199,15.95,132,9,1
19,5,5,0.263,17,3,5,0.176,16.234,16.23,102,24,66,13,11,0.197,6,1,1,0.167,16.061,16.058,128,7,0
15,5,5,0.333,1,0,1,0.0,15.996,16.0,61,9,66,13,11,0.197,6,1,1,0.167,16.061,16.058,128,7,0
5,1,3,0.2,1,0,1,0.0,15.919,15.841,52,8,66,13,11,0.197,6,1,1,0.167,16.061,16.058,128,7,0
4,1,1,0.25,3,1,1,0.333,16.044,16.036,124,7,45,12,8,0.267,42,10,8,0.238,16.566,16.606,134,7,1
4,1,1,0.25,3,1,1,0.333,16.044,16.036,124,7,124,19,19,0.153,32,6,7,0.188,16.166,16.075,130,5,1
4,1,1,0.25,3,1,1,0.333,16.044,16.036,124,7,92,11,17,0.12,28,5,11,0.179,16.455,16.643,132,11,1
12,4,3,0.333,3,1,1,0.333,17.24,15.793,68,8,10,1,7,0.1,10,1,7,0.1,16.052,16.052,102,7,0
12,4,3,0.333,3,1,1,0.333,17.24,15.793,68,8,81,15,16,0.185,25,4,14,0.16,16.23,16.618,128,6,0
5,1,1,0.2,1,0,1,0.0,16.029,16.01,91,6,15,2,10,0.133,4,0,1,0.0,15.97,16.049,49,5,1
11,2,2,0.182,4,1,1,0.25,15.935,15.934,61,8,15,2,10,0.133,4,0,1,0.0,15.97,16.049,49,5,1
11,3,4,0.273,3,0,1,0.0,15.84,15.866,63,10,8,2,3,0.25,1,0,1,0.0,16.153,16.2,95,9,1
12,6,2,0.5,2,0,1,0.0,16.166,16.242,61,7,64,12,9,0.188,25,5,4,0.2,16.018,16.024,87,7,0
