1,0,4,5,0,3,2,3.8,27.8,3.0,7,1
2,1,2,1,4,3,2,3.35,29.3,4.0,8,1
3,1,1,3,2,1,4,2.95,27.0,3.0,7,1
2,1,2,3,2,3,2,4.05,30.3,4.0,12,0
4,1,0,5,0,1,4,5.4,26.2,2.0,10,1
3,2,0,3,2,1,4,3.2,28.9,3.0,7,1
0,1,4,4,1,2,3,5.6,30.2,5.0,11,0
3,1,1,3,2,4,1,4.6,27.4,2.0,4,0
0,2,3,3,2,4,1,2.65,29.7,2.0,5,1
3,0,2,5,0,1,4,9.4,30.6,5.0,5,1
1,1,3,2,3,4,1,3.95,30.7,2.0,7,1
5,0,0,5,0,1,4,4.3,34.9,2.0,8,0
1,2,2,3,2,4,1,4.7,31.9,4.0,11,0
1,3,1,4,1,2,3,9.0,28.1,2.0,7,1
4,1,0,2,3,3,2,6.8,28.5,3.0,9,1
3,1,1,1,4,4,1,1.45,26.8,3.0,7,0
3,2,0,3,2,4,1,1.985,25.9,3.0,4,0
4,0,1,5,0,1,4,4.15,26.6,2.0,7,0
2,1,2,2,3,2,3,6.2,34.5,3.0,7,1
4,1,0,3,2,2,3,2.22,31.1,3.0,10,0
1,0,4,5,0,3,2,4.95,33.0,4.0,7,0
1,0,4,5,0,3,2,5.8,27.4,2.0,7,1
1,3,1,3,2,4,1,2.25,28.9,2.0,9,0
2,1,2,3,2,3,2,3.65,30.7,2.0,9,1
1,3,1,5,0,2,3,4.55,25.8,3.0,8,0
5,0,0,3,2,1,4,4.7,29.8,4.0,8,1
1,2,2,4,1,2,3,4.4,37.0,3.0,5,0
1,2,2,0,5,4,1,5.1,31.0,4.0,5,0
0,1,4,4,1,4,1,5.1,25.8,4.0,7,0
1,1,0,0,2,1,1,4.625,26.8,1.0,4,1
3,0,2,5,0,0,5,7.6,27.7,3.0,10,1
2,3,0,5,0,1,4,5.2,34.8,3.0,11,1
2,1,2,3,2,3,2,4.1,35.5,2.0,5,0
2,1,2,5,0,0,5,6.6,25.8,2.0,9,1
0,1,4,4,1,3,2,5.6,34.6,4.0,5,0
1,1,3,4,1,2,3,4.65,27.7,4.0,11,1
3,1,1,4,1,1,4,10.4,25.1,4.0,7,1
2,3,0,5,0,1,4,5.1,33.9,5.0,9,0
2,1,2,5,0,3,2,5.7,25.8,4.0,7,1
3,2,0,3,2,1,4,5.3,27.4,2.0,8,1
0,1,4,2,3,3,2,5.1,27.1,2.0,4,0
1,1,3,3,2,2,3,5.8,28.4,4.0,5,1
1,2,2,5,0,2,3,6.6,32.5,3.0,12,1
3,2,0,5,0,1,4,6.35,26.6,2.0,9,1
2,0,0,2,0,0,2,3.5,24.9,1.0,8,0
3,1,1,3,2,3,2,4.6,27.3,2.0,10,1
0,2,3,4,1,3,2,7.35,25.3,3.0,4,0
1,1,3,5,0,3,2,2.65,30.5,3.0,12,1
2,0,3,5,0,5,0,2.5,25.4,4.0,11,0
4,1,0,1,4,1,4,4.7,25.4,2.0,7,1
4,0,1,1,4,2,3,7.8,28.1,2.0,4,0
0,1,4,5,0,2,3,5.5,36.5,4.0,8,0
1,1,3,2,3,4,1,1.95,30.5,1.0,7,0
3,1,1,4,1,1,4,5.2,21.0,2.0,5,1
0,0,5,4,1,4,1,4.0,32.6,2.0,8,0
2,1,2,5,0,2,3,5.1,30.4,2.0,7,1
3,2,0,3,2,2,3,4.55,34.0,3.0,11,0
1,3,1,2,3,4,1,4.4,37.3,4.0,7,0
1,1,3,3,2,3,2,4.7,28.4,2.0,11,1
0,1,4,4,1,4,1,3.8,26.6,2.0,7,0
0,1,4,4,1,4,1,3.6,27.2,1.0,4,1
2,2,1,2,3,3,2,3.05,28.1,2.0,11,0
4,0,1,5,0,1,4,3.4,29.4,3.0,6,0
2,1,2,4,1,1,4,5.6,28.4,3.0,7,0
2,0,3,3,2,3,2,4.6,26.3,2.0,8,1
2,2,1,2,3,3,2,4.2,27.9,2.0,9,1
5,0,0,4,1,1,4,7.2,24.7,5.0,9,0
0,4,1,5,0,1,4,6.9,24.9,2.0,10,1
0,2,3,5,0,2,3,5.4,33.7,3.0,7,1
3,1,1,3,2,2,3,2.8,30.0,2.0,5,0
1,1,3,5,0,2,3,2.7,26.3,2.0,10,0
3,2,0,3,2,0,5,6.6,28.4,2.0,11,1
1,2,2,2,3,5,0,2.51,25.4,2.0,7,1
4,1,0,5,0,1,4,5.4,23.6,2.0,7,0
2,2,1,5,0,2,3,3.9,27.5,2.0,14,1
1,1,3,5,0,1,4,5.6,31.8,3.0,7,1
4,1,0,3,2,3,2,3.7,35.3,2.0,4,1
2,1,2,5,0,3,2,5.1,24.7,4.0,4,0
1,1,3,3,2,2,3,6.4,30.5,2.0,7,1
5,0,0,2,3,3,2,4.4,28.3,3.0,7,0
0,1,4,5,0,5,0,2.6,32.3,2.0,7,1
3,2,0,4,1,3,2,4.6,29.5,2.0,7,0
1,1,3,5,0,1,4,7.8,24.2,5.0,5,1
2,2,1,2,3,3,2,3.6,28.6,2.0,8,0
1,3,1,1,4,4,1,2.8,34.6,4.0,17,0
0,0,5,3,2,5,0,3.05,26.6,3.0,13,0
2,0,3,3,2,2,3,4.8,31.9,3.0,10,1
0,0,5,5,0,4,1,3.05,34.3,4.0,7,0
3,0,2,4,1,3,2,2.15,31.5,2.0,8,0
2,2,1,5,0,1,4,4.8,32.7,3.0,5,1
3,2,0,5,0,1,4,7.5,34.0,3.0,18,0
2,3,0,4,1,2,3,4.65,25.4,4.0,9,0
0,2,3,5,0,1,4,5.1,32.0,3.0,11,1
1,1,3,5,0,1,4,3.3,27.1,3.0,7,1
4,1,0,2,3,1,4,3.5,26.7,2.0,7,0
2,1,2,4,1,4,1,3.1,30.9,3.0,7,0
1,1,3,4,1,1,4,5.2,25.8,3.0,7,1
0,1,4,4,1,1,4,7.6,30.4,2.0,7,0
1,1,3,3,2,4,1,2.51,30.3,3.0,11,1
2,1,2,5,0,2,3,2.2,28.6,2.0,10,0
3,0,2,4,1,2,3,1.91,34.0,2.0,6,1
2,0,1,3,0,0,3,4.0,30.9,3.0,8,1
1,3,1,4,1,2,3,2.95,35.6,2.0,8,1
3,1,1,4,1,2,3,4.85,24.5,4.0,5,1
3,0,2,4,1,2,3,3.3,33.9,3.0,7,0
0,0,5,1,4,5,0,1.018,36.9,3.0,8,0
4,1,0,2,3,3,2,2.55,33.4,3.0,7,1
2,1,2,4,1,3,2,5.4,28.3,3.0,7,1
2,2,1,3,2,2,3,3.7,32.9,2.0,6,0
1,2,2,3,2,3,2,2.8,33.3,4.0,7,0
5,0,0,3,2,0,5,4.8,29.4,3.0,17,1
3,0,2,4,1,2,3,6.4,31.6,3.0,7,0
3,0,2,3,2,2,3,4.75,34.4,4.0,6,1
3,0,2,4,1,2,3,5.45,29.3,2.0,9,1
1,3,1,4,1,1,4,9.1,33.6,3.0,7,0
3,0,2,5,0,3,2,2.9,28.1,4.0,9,0
0,1,1,1,1,2,0,4.375,32.6,2.0,8,0
1,2,2,3,2,4,1,5.9,36.1,2.0,7,1
3,0,2,2,3,4,1,2.75,27.1,3.0,17,1
3,1,1,4,1,1,4,4.8,28.3,2.0,4,0
2,1,2,4,1,3,2,3.5,25.6,2.0,7,0
0,0,5,2,3,4,1,4.5,33.1,2.0,10,0
0,1,4,5,0,4,1,2.95,32.4,2.0,7,1
3,2,0,4,1,3,2,3.85,31.8,2.0,7,1
1,0,4,4,1,4,1,2.8,34.1,3.0,9,0
3,2,0,3,2,2,3,3.15,32.1,2.0,7,0
1,1,3,4,1,4,1,4.4,29.1,3.0,7,1
2,0,3,4,1,3,2,4.9,24.9,3.0,7,1
0,1,4,4,1,2,3,9.0,36.6,3.0,7,1
2,0,3,4,1,2,3,4.3,32.0,4.0,8,0
2,1,2,3,2,3,2,3.75,29.7,2.0,7,0
0,2,3,4,1,3,2,7.7,35.3,3.0,9,0
0,1,0,0,1,1,0,3.0,33.5,1.0,8,1
1,0,2,2,1,2,1,2.75,26.5,1.0,7,1
2,1,2,5,0,1,4,3.2,30.6,2.0,9,0
0,1,4,5,0,4,1,3.2,33.8,3.0,7,1
