0.556,0.222,0.722,0.556,4.514,0.0,32.5,83.459,0
0.556,0.222,0.722,0.556,4.514,0.0,32.5,83.459,0
0.207,0.328,0.69,0.509,4.688,0.0,31.965,85.834,1
0.238,0.295,0.714,0.581,4.045,0.0,25.827,91.249,1
0.306,0.222,0.708,0.472,4.16,0.0,28.34,101.954,1
0.5,0.087,0.739,0.565,4.326,0.0,23.813,83.889,1
0.25,0.125,1.0,0.25,4.625,0.0,30.05,82.927,0
0.333,0.244,0.622,0.444,3.775,0.0,29.407,85.871,0
0.682,0.258,0.576,0.606,3.334,0.0,32.492,99.105,1
0.343,0.329,0.586,0.557,3.362,0.0,31.29,88.067,1
0.0,0.5,0.618,0.235,3.375,0.0,23.956,86.427,1
0.32,0.24,0.693,0.413,4.343,0.0,25.313,107.137,1
0.231,0.288,0.731,0.5,3.5,0.0,32.7,93.982,0
0.371,0.429,0.457,0.6,3.107,0.0,33.349,85.506,0
0.378,0.311,0.611,0.444,4.178,0.0,27.94,103.64,1
0.2,0.28,0.64,0.32,3.612,0.0,27.096,89.277,1
0.3,0.25,0.65,0.3,3.288,0.0,31.97,85.896,1
0.676,0.088,0.794,0.559,4.39,0.0,30.0,84.397,1
0.0,0.167,1.0,0.333,3.333,0.0,32.7,90.93,0
0.366,0.38,0.592,0.451,3.447,0.0,25.923,97.971,0
0.366,0.38,0.592,0.451,3.447,0.0,25.923,97.971,1
0.742,0.177,0.613,0.5,3.638,0.0,28.479,88.99,1
0.322,0.278,0.7,0.489,3.636,0.0,33.461,90.144,1
0.542,0.083,0.833,0.25,4.115,0.0,27.563,98.923,1
0.8,0.133,0.667,0.467,3.367,0.0,36.367,84.328,0
0.793,0.207,0.598,0.537,3.745,0.0,25.416,83.677,0
0.382,0.224,0.618,0.605,3.405,0.0,28.422,94.622,1
0.057,0.543,0.571,0.457,2.836,0.0,31.76,87.989,1
0.057,0.543,0.571,0.457,2.836,0.0,31.76,87.989,1
0.81,0.167,0.643,0.548,3.589,0.0,31.429,83.798,1
0.077,0.538,0.615,0.154,2.457,0.0,34.992,100.215,0
